method,p,scale,k,slope,slope_se
calibrated,0.5,sqrt,6,-0.06227543815350457,3.2347273832289813
calibrated,0.8,sqrt,6,1.3764456500636324,3.813747813477361
calibrated,0.9,sqrt,6,-1.8665674965123988,2.518321886203423
cornish_fisher,0.5,sqrt,6,1.3090499672711848,3.910012677487205
cornish_fisher,0.8,sqrt,6,-0.8618629959645248,0.51297348533588
cornish_fisher,0.9,sqrt,6,-0.6207963760560649,0.2534239972543252
gaussian,0.5,sqrt,6,0.8791103122414825,3.164429637286076
gaussian,0.8,sqrt,6,-1.5140705333588256,0.9550758138694795
gaussian,0.9,sqrt,6,-0.6363552598195991,0.4209311170075078
calibrated,0.5,linear,6,0.43772456184649466,3.2347273832289813
calibrated,0.8,linear,6,1.8764456500636335,3.8137478134773604
calibrated,0.9,linear,6,-1.3665674965124006,2.518321886203423
cornish_fisher,0.5,linear,6,1.8090499672711844,3.910012677487205
cornish_fisher,0.8,linear,6,-0.361862995964526,0.5129734853358799
cornish_fisher,0.9,linear,6,-0.12079637605606679,0.2534239972543252
gaussian,0.5,linear,6,1.3791103122414818,3.1644296372860765
gaussian,0.8,linear,6,-1.0140705333588276,0.9550758138694796
gaussian,0.9,linear,6,-0.136355259819599,0.4209311170075078
